transaction_id,date,store_location,product_category,product_name,quantity,unit_price,payment_method,customer_age,customer_gender
1178,2024-07-23,Port Harcourt,Beauty,Aftershave,1,19.99,Credit Card,40,M
1179,2024-07-26,Lagos,Clothing,Handbag,1,65.00,Debit Card,27,F
1180,2024-07-29,Uyo,Home Goods,Ironing Board,1,35.99,Mobile Payment,43,F
1181,2024-08-01,Abuja,Electronics,Digital Camera,1,199.99,Credit Card,30,M
1182,2024-08-04,Lagos,Groceries,Granola Bars,4,4.50,Cash,25,F
1183,2024-08-07,Port Harcourt,Beauty,Teeth Whitening Kit,1,35.00,Debit Card,32,F
1184,2024-08-10,Uyo,Clothing,Baby Shoes,1,22.99,Mobile Payment,28,F
1185,2024-08-13,Lagos,Home Goods,Bathroom Scale,1,29.99,Credit Card,37,M
1186,2024-08-16,Abuja,Electronics,Computer Cable,3,7.99,Debit Card,31,M
1187,2024-08-19,Port Harcourt,Groceries,Fresh Fruit,5,2.99,Cash,40,F
1188,2024-08-22,Lagos,Beauty,Nail File Set,1,5.99,Mobile Payment,23,F
1189,2024-08-25,Uyo,Clothing,School Bag,1,42.50,Credit Card,33,M
1190,2024-08-28,Abuja,Home Goods,Door Stopper,2,8.75,Debit Card,36,F
1191,2024-08-31,Lagos,Electronics,External SSD,1,89.99,Cash,29,M
1192,2024-09-03,Port Harcourt,Groceries,Cake Mix,3,3.99,Credit Card,31,F
1193,2024-09-06,Uyo,Beauty,Hand Sanitizer,5,2.50,Mobile Payment,27,F
1194,2024-09-09,Lagos,Clothing,Umbrella,1,18.99,Debit Card,42,M
1195,2024-09-12,Abuja,Home Goods,Spice Rack,1,24.50,Cash,35,F
1196,2024-09-15,Port Harcourt,Electronics,Projector,1,149.99,Credit Card,30,M
1197,2024-09-18,Lagos,Groceries,Breakfast Cereal,2,6.75,Mobile Payment,38,F
1198,2024-09-21,Uyo,Beauty,Cotton Pads,3,2.99,Debit Card,26,F
1199,2024-09-24,Abuja,Clothing,Watch Band,1,15.50,Cash,32,M
1200,2024-09-27,Lagos,Home Goods,Shoe Rack,1,32.99,Credit Card,29,F
